id,traj_id,time,entity_id,coordinates,current_dis,speeds,holidays,end_longitude,end_latitude,start_longitude,start_latitude,timestamp_column,time_str
126,9,2013-10-08 22:30:00+00:00,254,"[116.490013,39.892902]",3.0790165998762267,30.97125,0,116.490013,39.892902,116.511292,39.904655,1381271400,2013-10-08 22:38:05
147,11,2013-10-08 23:00:00+00:00,254,"[116.450546,39.943771]",12.543428249615287,42.97874999999999,0,116.450546,39.943771,116.440742,40.018944,1381273200,2013-10-08 23:23:07
171,13,2013-10-08 17:15:00+00:00,255,"[116.335503,39.763187]",1.500453396259508,45.5625,0,116.335503,39.763187,116.34182,39.771339,1381252500,2013-10-08 17:19:19
207,16,2013-10-08 19:00:00+00:00,255,"[116.479919,39.801834]",2.206868057855485,18.415,0,116.479919,39.801834,116.493935,39.789604,1381258800,2013-10-08 19:03:31
337,24,2013-10-08 08:00:00+00:00,256,"[116.229218,39.900791]",7.685248857262442,28.66625,0,116.229218,39.900791,116.314941,39.897045,1381219200,2013-10-08 08:08:35
355,25,2013-10-08 08:30:00+00:00,256,"[116.324127,39.897049]",8.070722821020265,25.94625,0,116.324127,39.897049,116.410393,39.899246,1381221000,2013-10-08 08:51:49
547,40,2013-10-08 08:30:00+00:00,257,"[116.408173,39.79324]",22.80170332668824,27.89875,0,116.408173,39.79324,116.470497,39.911777,1381221000,2013-10-08 09:17:59
1040,53,2013-10-08 18:30:00+00:00,257,"[116.360901,39.878113]",14.725642574985304,21.6975,0,116.360901,39.878113,116.284477,39.957474,1381257000,2013-10-08 18:53:33
1103,55,2013-10-08 19:45:00+00:00,257,"[116.268333,39.883675]",3.29256194502244,21.6625,0,116.268333,39.883675,116.266289,39.856838,1381261500,2013-10-08 19:54:24
1191,60,2013-10-08 06:15:00+00:00,258,"[116.467606,39.876831]",8.904612875260787,22.89375,0,116.467606,39.876831,116.378616,39.859783,1381212900,2013-10-08 06:32:11
1439,67,2013-10-08 06:00:00+00:00,4118,"[116.351501,39.939926]",23.607038870114952,66.2,0,116.351501,39.939926,116.541328,40.024174,1381212000,2013-10-08 06:28:12
1656,77,2013-10-08 13:45:00+00:00,4118,"[116.369614,39.985012]",4.8697326450309495,23.22875,0,116.369614,39.985012,116.332123,39.992634,1381239900,2013-10-08 14:01:09
1707,82,2013-10-08 09:30:00+00:00,4120,"[116.437233,39.98579]",5.531600540800357,25.4325,0,116.437233,39.98579,116.461655,39.950142,1381224600,2013-10-08 09:42:55
1740,86,2013-10-08 18:30:00+00:00,4120,"[116.386902,39.854935]",3.6775854066850746,36.228750000000005,0,116.386902,39.854935,116.347527,39.850155,1381257000,2013-10-08 18:38:09
1776,89,2013-10-08 08:30:00+00:00,4121,"[116.325829,39.897053]",4.792201530370765,30.57,0,116.325829,39.897053,116.356834,39.916866,1381221000,2013-10-08 08:40:42
1909,97,2013-10-08 12:00:00+00:00,4122,"[116.316399,39.978687]",5.890675838710133,38.19375,0,116.316399,39.978687,116.313873,40.024509,1381233600,2013-10-08 12:14:23
2063,105,2013-10-08 00:00:00+00:00,4123,"[116.461601,39.940952]",13.294559380125229,49.0475,0,116.461601,39.940952,116.417839,40.024811,1381190400,2013-10-08 00:24:46
